City_ID,city,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
233,Faanui,PF,2022-01-24 17:13:02,-16.4833,-151.75,80.85,75,100,11.07
234,Akyab,MM,2022-01-24 17:13:02,20.15,92.9,72.21,66,73,2.1
235,Snyder,US,2022-01-24 17:13:02,32.7179,-100.9176,50.52,61,75,5.75
236,Kalaleh,IR,2022-01-24 17:13:03,37.3807,55.4916,45.36,40,0,7.25
237,Tucuman,AR,2022-01-24 17:13:03,-26.8241,-65.2226,82.4,65,75,4.61
238,Canapi,BR,2022-01-24 17:13:04,-9.1174,-37.6012,90.9,36,92,10.04
239,Kathu,TH,2022-01-24 17:13:04,7.9178,98.3332,86.7,78,53,5.1
240,Cururupu,BR,2022-01-24 17:13:04,-1.8283,-44.8683,85.55,61,97,7.67
241,Jackson,US,2022-01-24 17:13:05,42.4165,-122.8345,29.35,93,0,3.44
242,Luderitz,NA,2022-01-24 17:13:05,-26.6481,15.1594,81.01,55,46,18.92
243,Gadwal,IN,2022-01-24 17:13:05,16.2333,77.8,73.31,32,1,6.8
244,Sinnamary,GF,2022-01-24 17:13:06,5.3833,-52.95,77.58,85,96,10.67
245,Bredasdorp,ZA,2022-01-24 17:13:06,-34.5322,20.0403,71.28,64,8,9.66
246,Margate,GB,2022-01-24 17:13:06,51.3813,1.3862,40.91,79,62,1.01
247,Palencia,ES,2022-01-24 17:13:07,42.4167,-4.5,48.81,65,1,3.29
248,Ponta Delgada,PT,2022-01-24 17:13:07,37.7333,-25.6667,64.51,55,20,11.5
249,Evensk,RU,2022-01-24 17:13:08,61.95,159.2333,-6.16,85,100,5.14
250,Birjand,IR,2022-01-24 17:13:08,32.8663,59.2211,39.22,32,0,2.13
251,Kaputa,ZM,2022-01-24 17:13:08,-8.4689,29.6619,70.39,86,77,4.34
252,Narrabri,AU,2022-01-24 17:13:09,-30.3167,149.7833,69.53,78,92,1.01
253,Bintulu,MY,2022-01-24 17:13:09,3.1667,113.0333,74.57,97,100,7.87
254,Xichang,CN,2022-01-24 17:13:09,27.8964,102.2634,46.27,75,58,2.66
255,Morehead,US,2022-01-24 17:13:10,37.2711,-87.1764,46.31,63,40,7.0
256,Byron Bay,AU,2022-01-24 17:13:10,-28.65,153.6167,72.88,85,100,6.26
257,Sitka,US,2022-01-24 17:13:10,57.0531,-135.33,35.49,93,100,0.0
258,Litovko,RU,2022-01-24 17:13:11,49.2361,135.1742,-23.64,100,40,1.07
259,Sedalia,US,2022-01-24 17:12:33,38.7045,-93.2283,47.91,59,40,9.22
260,Kahului,US,2022-01-24 17:13:11,20.8947,-156.47,71.83,76,0,8.05
261,Altamira,BR,2022-01-24 17:13:12,-3.2033,-52.2064,79.45,87,100,4.05
262,Port Macquarie,AU,2022-01-24 17:13:12,-31.4333,152.9167,68.9,80,78,2.28
263,Marang,MY,2022-01-24 17:13:12,5.2056,103.2059,75.88,81,43,1.9
