City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
675,Santarem,BR,78.93,broken clouds,-2.4431,-54.7083,Ecotur Lodge
677,Kota Kinabalu,MY,76.98,moderate rain,5.9749,116.0724,Gaya Centre Hotel
688,Cabo Rojo,PR,85.28,clear sky,18.0866,-67.1457,Hotel Perichi's
689,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
696,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
698,Bambanglipuro,ID,77.22,overcast clouds,-7.95,110.2833,Puri Brata
703,Chimbote,PE,75.61,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
708,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
711,Fort Myers Beach,US,75.25,scattered clouds,26.452,-81.9481,Lani Kai Island Resort
712,Corrente,BR,83.08,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
713,Sao Pedro Do Sul,BR,75.85,overcast clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
